MD5 differential path toolbox
Copyright (C) 2009 Marc Stevens
http://homepages.cwi.nl/~stevens/

delta_m[11] = [!11!]
Q-3:	|11110101 10011011 11101110 00010110|
Q63:	|........ .+-..... ........ ........| ok p=0.998047
Q64:	|........ ..+..... ....-... ........|
Starting...
20: Q5m5tunnel      = 5
20: Q4m5tunnel      = 2
20: Q14m6Q3m5tunnel = 0
21: Q10m10tunnel    = 3
21: Q9m10tunnel     = 3
22: Q8Q12m15tunnel  = 2
23: Q4m4tunnel      = 10
24: Q9m9tunnel      = 9
25: Q14Q3m14tunnel  = 0
.20: Q5m5tunnel      = 5
20: Q4m5tunnel      = 2
20: Q14m6Q3m5tunnel = 0
21: Q10m10tunnel    = 3
21: Q9m10tunnel     = 3
22: Q8Q12m15tunnel  = 2
23: Q4m4tunnel      = 10
24: Q9m9tunnel      = 9
25: Q14Q3m14tunnel  = 0
.20: Q5m5tunnel      = 5
20: Q4m5tunnel      = 2
20: Q14m6Q3m5tunnel = 0
21: Q10m10tunnel    = 3
21: Q9m10tunnel     = 3
22: Q8Q12m15tunnel  = 2
23: Q4m4tunnel      = 10
24: Q9m9tunnel      = 9
25: Q14Q3m14tunnel  = 0
.20: Q5m5tunnel      = 5
20: Q4m5tunnel      = 2
20: Q14m6Q3m5tunnel = 0
21: Q10m10tunnel    = 3
21: Q9m10tunnel     = 3
22: Q8Q12m15tunnel  = 2
23: Q4m4tunnel      = 10
24: Q9m9tunnel      = 9
25: Q14Q3m14tunnel  = 0
.20: Q5m5tunnel      = 5
20: Q4m5tunnel      = 2
20: Q14m6Q3m5tunnel = 0
21: Q10m10tunnel    = 3
21: Q9m10tunnel     = 3
22: Q8Q12m15tunnel  = 2
23: Q4m4tunnel      = 10
24: Q9m9tunnel      = 9
25: Q14Q3m14tunnel  = 0
.20: Q5m5tunnel      = 5
20: Q4m5tunnel      = 2
20: Q14m6Q3m5tunnel = 0
21: Q10m10tunnel    = 3
21: Q9m10tunnel     = 3
22: Q8Q12m15tunnel  = 2
23: Q4m4tunnel      = 10
24: Q9m9tunnel      = 9
25: Q14Q3m14tunnel  = 0
.20: Q5m5tunnel      = 5
20: Q4m5tunnel      = 2
20: Q14m6Q3m5tunnel = 0
21: Q10m10tunnel    = 3
21: Q9m10tunnel     = 3
22: Q8Q12m15tunnel  = 2
23: Q4m4tunnel      = 10
24: Q9m9tunnel      = 9
25: Q14Q3m14tunnel  = 0
.20: Q5m5tunnel      = 5
20: Q4m5tunnel      = 2
20: Q14m6Q3m5tunnel = 0
21: Q10m10tunnel    = 3
21: Q9m10tunnel     = 3
22: Q8Q12m15tunnel  = 2
23: Q4m4tunnel      = 10
24: Q9m9tunnel      = 9
25: Q14Q3m14tunnel  = 0
.1 0
2 0
4 0
8 0
16 0
20: Q5m5tunnel      = 5
20: Q4m5tunnel      = 2
20: Q14m6Q3m5tunnel = 0
21: Q10m10tunnel    = 3
21: Q9m10tunnel     = 3
22: Q8Q12m15tunnel  = 2
23: Q4m4tunnel      = 10
24: Q9m9tunnel      = 9
25: Q14Q3m14tunnel  = 0
32 0
.20: Q5m5tunnel      = 5
20: Q4m5tunnel      = 2
20: Q14m6Q3m5tunnel = 0
21: Q10m10tunnel    = 3
21: Q9m10tunnel     = 3
22: Q8Q12m15tunnel  = 2
23: Q4m4tunnel      = 10
24: Q9m9tunnel      = 9
25: Q14Q3m14tunnel  = 0
20: Q5m5tunnel      = 5
20: Q4m5tunnel      = 2
20: Q14m6Q3m5tunnel = 0
21: Q10m10tunnel    = 3
21: Q9m10tunnel     = 3
22: Q8Q12m15tunnel  = 2
23: Q4m4tunnel      = 10
24: Q9m9tunnel      = 9
25: Q14Q3m14tunnel  = 0
..20: Q5m5tunnel      = 5
20: Q4m5tunnel      = 2
20: Q14m6Q3m5tunnel = 0
21: Q10m10tunnel    = 3
21: Q9m10tunnel     = 3
22: Q8Q12m15tunnel  = 2
23: Q4m4tunnel      = 10
24: Q9m9tunnel      = 9
25: Q14Q3m14tunnel  = 0
.64 0
128 0
256 0
512 0
1024 0
2048 0
4096 0
8192 0
16384 0
32768 0
65536 0
128842 1
131072 1
153136 2
262144 2
285593 4
524288 6
939597 8
1048576 10
1282899 16
Block 1: workdir1/coll1_1100327442
6b 86 69 9c ae 54 55 96 de 10 2b e8 7f 71 31 6e 
de ff 7b 27 a1 81 bd 11 0a 1e 0a d0 d2 18 eb 49 
56 7c 82 ff ba 8e 32 91 2e ad bb 6f 60 2d 2b 28 
cb 65 31 42 68 fe bd be 89 60 a7 14 ea a8 17 8f 
Block 2: workdir1/coll2_1100327442
6b 86 69 9c ae 54 55 96 de 10 2b e8 7f 71 31 6e 
de ff 7b 27 a1 81 bd 11 0a 1e 0a d0 d2 18 eb 49 
56 7c 82 ff ba 8e 32 91 2e ad bb 6f 60 35 2b 28 
cb 65 31 42 68 fe bd be 89 60 a7 14 ea a8 17 8f 
Found collision!
