MD5 differential path toolbox
Copyright (C) 2009 Marc Stevens
http://homepages.cwi.nl/~stevens/

delta_m[11] = [!5!]
Q-3:	|10100100 01110100 01100011 01111001|
Q46:	|........ ........ ........ ........| ok p=1
Q47:	|........ ........ ........ ........| ok p=1
Q48:	|........ ........ ........ ........| ok p=1
Q49:	|........ ........ ........ ........| ok p=1
Q50:	|........ ........ ........ ........| ok p=1
Q51:	|........ ........ ........ ........| ok p=1
Q52:	|........ ........ ........ ........| ok p=1
Q53:	|........ ........ ........ ........| ok p=1
Q54:	|........ ........ ........ ........| ok p=1
Q55:	|........ ........ ........ ........| ok p=1
Q56:	|........ ........ ........ ........| ok p=1
Q57:	|........ ........ ........ ........| ok p=1
Q58:	|........ ........ ........ ........| ok p=1
Q59:	|........ ........ ........ ........| ok p=1
Q60:	|........ ........ 0....... ........| ok p=1
Q61:	|........ ......10 1....... ........| ok p=1
Q62:	|........ ......1. +....... ........| ok p=1
Q63:	|........ ......+- -....... ........| ok p=1
Q64:	|........ ........ +....... .-......|
Starting...
20: Q5m5tunnel      = 3
20: Q4m5tunnel      = 1
20: Q14m6Q3m5tunnel = 1
21: Q10m10tunnel    = 3
21: Q9m10tunnel     = 4
22: Q8Q12m15tunnel  = 0
23: Q4m4tunnel      = 12
24: Q9m9tunnel      = 12
25: Q14Q3m14tunnel  = 2
.20: Q5m5tunnel      = 3
20: Q4m5tunnel      = 1
20: Q14m6Q3m5tunnel = 1
21: Q10m10tunnel    = 3
21: Q9m10tunnel     = 4
22: Q8Q12m15tunnel  = 0
23: Q4m4tunnel      = 12
24: Q9m9tunnel      = 12
25: Q14Q3m14tunnel  = 2
.20: Q5m5tunnel      = 3
20: Q4m5tunnel      = 1
20: Q14m6Q3m5tunnel = 1
21: Q10m10tunnel    = 3
21: Q9m10tunnel     = 4
22: Q8Q12m15tunnel  = 0
23: Q4m4tunnel      = 12
24: Q9m9tunnel      = 12
25: Q14Q3m14tunnel  = 2
.20: Q5m5tunnel      = 3
20: Q4m5tunnel      = 1
20: Q14m6Q3m5tunnel = 1
21: Q10m10tunnel    = 3
21: Q9m10tunnel     = 4
22: Q8Q12m15tunnel  = 0
23: Q4m4tunnel      = 12
24: Q9m9tunnel      = 12
25: Q14Q3m14tunnel  = 2
.20: Q5m5tunnel      = 2
20: Q4m5tunnel      = 1
20: Q14m6Q3m5tunnel = 1
21: Q10m10tunnel    = 3
21: Q9m10tunnel     = 4
22: Q8Q12m15tunnel  = 0
23: Q4m4tunnel      = 14
24: Q9m9tunnel      = 12
25: Q14Q3m14tunnel  = 1
.20: Q5m5tunnel      = 2
20: Q4m5tunnel      = 1
20: Q14m6Q3m5tunnel = 1
21: Q10m10tunnel    = 3
21: Q9m10tunnel     = 4
22: Q8Q12m15tunnel  = 0
23: Q4m4tunnel      = 14
24: Q9m9tunnel      = 12
25: Q14Q3m14tunnel  = 1
.20: Q5m5tunnel      = 3
20: Q4m5tunnel      = 1
20: Q14m6Q3m5tunnel = 1
21: Q10m10tunnel    = 3
21: Q9m10tunnel     = 4
22: Q8Q12m15tunnel  = 0
23: Q4m4tunnel      = 12
24: Q9m9tunnel      = 12
25: Q14Q3m14tunnel  = 2
20: Q5m5tunnel      = 2
20: Q4m5tunnel      = 1
20: Q14m6Q3m5tunnel = 1
21: Q10m10tunnel    = 3
21: Q9m10tunnel     = 4
22: Q8Q12m15tunnel  = 0
23: Q4m4tunnel      = 14
24: Q9m9tunnel      = 12
25: Q14Q3m14tunnel  = 1
..20: Q5m5tunnel      = 3
20: Q4m5tunnel      = 1
20: Q14m6Q3m5tunnel = 1
21: Q10m10tunnel    = 3
21: Q9m10tunnel     = 4
22: Q8Q12m15tunnel  = 0
23: Q4m4tunnel      = 12
24: Q9m9tunnel      = 12
25: Q14Q3m14tunnel  = 2
.20: Q5m5tunnel      = 2
20: Q4m5tunnel      = 1
20: Q14m6Q3m5tunnel = 1
21: Q10m10tunnel    = 3
21: Q9m10tunnel     = 4
22: Q8Q12m15tunnel  = 0
23: Q4m4tunnel      = 14
24: Q9m9tunnel      = 12
25: Q14Q3m14tunnel  = 1
.20: Q5m5tunnel      = 3
20: Q4m5tunnel      = 1
20: Q14m6Q3m5tunnel = 1
21: Q10m10tunnel    = 3
21: Q9m10tunnel     = 4
22: Q8Q12m15tunnel  = 0
23: Q4m4tunnel      = 12
24: Q9m9tunnel      = 12
25: Q14Q3m14tunnel  = 2
.20: Q5m5tunnel      = 3
20: Q4m5tunnel      = 1
20: Q14m6Q3m5tunnel = 1
21: Q10m10tunnel    = 3
21: Q9m10tunnel     = 4
22: Q8Q12m15tunnel  = 0
23: Q4m4tunnel      = 12
24: Q9m9tunnel      = 12
25: Q14Q3m14tunnel  = 2
.1 0
2 0
4 0
8 0
16 0
32 0
64 0
128 0
256 0
512 0
1024 0
2048 0
4096 0
8192 0
16384 0
32768 0
35695 1
50196 2
65536 2
131072 2
159403 4
262144 5
309689 8
524288 13
710926 16
1048576 21
1734133 32
2097152 39
3732830 64
4194304 71
7356741 128
8388608 141
Block 1: workdir5/coll1_2083505111
94 2f 20 93 a7 ad 13 73 c2 02 9f 39 5c 08 59 99 
76 43 91 c5 19 a8 89 ab b9 44 6a 90 00 a2 b0 22 
26 93 c5 e3 f4 e8 77 04 e0 7b 79 86 57 31 f5 80 
96 2c 49 09 7f 1c 85 cf 9e 16 dd 30 8f 9a 25 36 
Block 2: workdir5/coll2_2083505111
94 2f 20 93 a7 ad 13 73 c2 02 9f 39 5c 08 59 99 
76 43 91 c5 19 a8 89 ab b9 44 6a 90 00 a2 b0 22 
26 93 c5 e3 f4 e8 77 04 e0 7b 79 86 77 31 f5 80 
96 2c 49 09 7f 1c 85 cf 9e 16 dd 30 8f 9a 25 36 
Found collision!
